chae_id,gaia_a,gaia_b,ra_a,dec_a,ra_b,dec_b,parallax_a,parallax_error_a,parallax_b,parallax_error_b,pmra_a,pmra_error_a,pmdec_a,pmdec_error_a,pmra_b,pmra_error_b,pmdec_b,pmdec_error_b,rv_diff,rv_sigma,gaia_rv_a,gaia_rv_err_a,gaia_rv_b,gaia_rv_err_b,mass_flame_a,mass_flame_a_err,mass_flame_b,mass_flame_b_err,mass_total_flame,ruwe_a,ruwe_b,phot_g_mean_mag_a,phot_g_mean_mag_b,bp_rp_a,bp_rp_b,d_M_pc,v_obs_over_vesc,v_obs_over_vesc_err,Gamma,Gamma_err_upper,Gamma_err_lower,rv_source,merits
27,1282815063829295360,1282817022334383232,220.07712451022257,30.443639553024617,220.11881417660481,30.52031681603072,18.1756049618557,0.021311676129698753,18.191726981089978,0.023344969376921654,93.44845432319889,0.019460447132587433,-44.424226847910745,0.02026819810271263,93.4648517646098,0.02024911530315876,-43.880419389673904,0.021918023005127907,-0.283,0.041,-11.924779891967773,0.1214221641421318,-11.597840309143066,0.12398850917816162,1.0315327644348145,0.040003567934036255,0.9966704249382019,0.0400090217590332,2.0282031893730164,0.9292381405830383,0.9440017342567444,7.562130928039551,7.839183330535889,0.7657909393310547,0.7684845924377441,55.0,0.75,0.11,0.12,0.252,0.132,LCO,1;2;5;6
28,3793107930900527616,3793106419072038272,175.32756288659905,-1.7784002271035138,175.35390996007814,-1.8241687412933,11.611926207387622,0.023349333554506302,11.635300047637891,0.016373155638575554,-63.821820042746445,0.02986934222280979,-51.348329671190456,0.02146012708544731,-63.62116196760513,0.02148205228149891,-51.38298824400537,0.014523507095873356,0.26,0.094,-0.3816332221031189,0.16639195382595062,0.36681726574897766,0.2076718956232071,1.2172430753707886,0.040018439292907715,1.031991958618164,0.04012209177017212,2.2492350339889526,0.8871093392372131,0.9068165421485901,8.285684585571289,9.615129470825195,0.6203060150146484,0.8562192916870117,86.0,0.62,0.22,-0.224,0.304,0.239,LCO,1;2;5;6
30,3170300942420466176,3170394607068638336,112.42528876943047,18.275734567650453,112.44829720377479,18.27953149007466,8.210067305758644,0.021166015416383743,8.223047833214265,0.01814916729927063,-8.927991924321791,0.020519357174634933,-31.076188044419943,0.017237970605492592,-8.729726448820731,0.018239302560687065,-31.462158379387656,0.017576880753040314,-0.055,0.058,-27.738500595092773,0.2434978485107422,-26.9885311126709,0.2069537192583084,1.0362672805786133,0.040011823177337646,1.0054478645324707,0.04001057147979736,2.041715145111084,1.0947083234786987,0.9622762799263,9.291267395019531,9.505489349365234,0.7638130187988281,0.7654199600219727,121.69,0.47,0.08,-0.087,0.256,0.12,LCO,2
31,5651775953326498688,5651752515687994368,137.36401487257845,-23.52104601504161,137.32899059010558,-23.541167264036417,18.14571210642388,0.016814636066555977,18.1557033018507,0.013861950486898422,13.204289983955604,0.016154160723090172,-55.99228970612499,0.013069329783320427,13.858118168622543,0.01451121550053358,-55.76708434588077,0.010983108542859554,-0.119,0.081,-3.7406375408172607,0.14954209327697754,-3.871645927429199,0.19422480463981628,0.9560247659683228,0.040017545223236084,0.7954772710800171,0.040008723735809326,1.7515020370483398,1.0003817081451416,0.9053507447242737,8.682692527770996,9.5702486038208,0.8371868133544922,1.0535659790039062,55.09,0.36,0.08,-0.205,0.241,0.241,LCO,2
32,5741345125461459200,5741344919302959360,141.10325764827388,-9.412627773358391,141.08782693788484,-9.443750072834883,9.520009439273883,0.01492032129317522,9.522211705643326,0.017332719638943672,5.483022915022234,0.015623332932591438,13.376536248898715,0.010966350324451923,5.515366331771421,0.016455726698040962,12.68727159004986,0.011737734079360962,-0.327,0.042,14.433442115783691,0.17359362542629242,15.064194679260254,0.18549464643001556,1.0422097444534302,0.04000657796859741,0.9724341630935669,0.04002818465232849,2.014643907546997,0.9289692640304565,1.0133346319198608,9.387690544128418,9.742451667785645,0.7396564483642578,0.8024997711181641,105.03,0.94,0.07,0.24,0.248,0.117,LCO,1;2
33,3116331104937277952,3116324881524878208,106.40983839174811,3.9494567058525356,106.38437375747148,3.8384220897050874,13.51523316227252,0.026947585865855217,13.551768274252334,0.01883700303733349,34.71779758405371,0.02580343559384346,6.591002351168984,0.023411957547068596,34.34906541927604,0.019304411485791206,6.0029639933745536,0.01609005406498909,-0.345,0.06,-15.010483741760254,0.1403992474079132,-14.829842567443848,0.201244056224823,1.2600975036621094,0.040014803409576416,,,,1.0622044801712036,1.2229670286178589,7.728729724884033,9.711392402648926,0.634244441986084,0.8941116333007812,73.86,1.2,0.16,0.313,0.239,0.13,LCO,2
34,3230677565443833088,3230677874682668672,69.36141310154883,0.5531702570456616,69.35877990675785,0.5746885193735639,15.696707773166493,0.02103218249976635,15.664764549838177,0.03403697535395622,16.57463107929683,0.02574106678366661,11.63983097521804,0.019184090197086334,15.891765061205286,0.03860224038362503,12.192545652096141,0.030262714251875877,-0.076,0.057,38.39664840698242,0.134928360581398,38.72426223754883,0.13273638486862183,1.1626927852630615,0.04033750295639038,1.1526923179626465,0.04009956121444702,2.315385103225708,1.058188796043396,1.0721560716629028,7.3606696128845215,7.369384765625,0.7271757125854492,0.7305402755737305,63.74,0.37,0.08,-0.225,0.307,0.112,LCO,2;5
36,1967283042361454848,1967282939282261120,321.50085482416085,41.72634540892232,321.473911355853,41.73628424685674,12.060775161956668,0.013235854916274548,12.0768062954537,0.01015513390302658,70.05483453371465,0.011946285143494606,87.29936472251856,0.01340795960277319,70.88608258861203,0.009964663535356522,87.3728236941541,0.010196639224886894,-0.561,0.082,-24.763294219970703,0.16317635774612427,-24.249492645263672,0.17081712186336517,1.037450909614563,0.04000243544578552,,,,0.9073901176452637,0.858582079410553,8.543265342712402,9.853745460510254,0.7433071136474609,0.8767328262329102,82.84,0.96,0.11,0.226,0.223,0.225,LCO,1
39,1938247517245907456,1938247654684985216,351.440676403586,45.3472045921841,351.49102453993925,45.384672233763396,16.78035001612588,0.021010611206293106,16.839112952260518,0.018000781536102295,47.32518739364306,0.015163803473114967,-45.96430998421225,0.015632765367627144,46.91670253816792,0.01292265485972166,-44.328814667780755,0.013327904045581818,-0.055,0.046,-15.505972862243652,0.12463793903589249,-15.438632011413574,0.13889899849891663,1.0545523166656494,0.04000246524810791,0.9706516265869141,0.040001630783081055,2.0252039432525635,0.933933675289154,0.9370157122612,7.754573345184326,8.382698059082031,0.7302241325378418,0.7895278930664062,59.47,0.88,0.04,0.247,0.224,0.124,LCO,6
42,3550081879381593728,3550084490721711872,161.87921047465653,-22.348157775829122,161.8551855706436,-22.286846789386907,29.831052277476214,0.026216300204396248,29.799400117914608,0.01776549592614174,-124.61638122980818,0.02620295062661171,-28.184942825136016,0.02389758639037609,-124.58248597196527,0.018786469474434853,-29.616711232597915,0.019913043826818466,-0.595,0.082,23.75881004333496,0.14770939946174622,24.451290130615234,0.18019886314868927,0.8209661245346069,0.04002156853675842,0.6974093317985535,0.04000002145767212,1.5183754563331604,0.9680476784706116,0.9923086166381836,8.166852951049805,9.504441261291504,0.9782748222351074,1.3971233367919922,33.55,1.09,0.14,0.277,0.234,0.131,LCO,5
50,4599984642025088128,4599984504586131456,261.6781138142425,31.077525475147922,261.6706702187442,31.05978169801811,14.345829403011177,0.01582212932407856,14.330965331519511,0.011388286016881466,-360.9720631883347,0.016031552106142044,74.73632526495807,0.019269227981567383,-360.0801928101904,0.011549870483577251,75.31364591111786,0.012740292586386204,0.086,0.062,-73.23894500732422,0.13163435459136963,-73.02356719970703,0.23434002697467804,0.9866084456443787,0.04000154137611389,,,,0.968477725982666,1.065667748451233,8.34017562866211,9.489514350891113,0.778508186340332,0.9042549133300781,69.75,0.51,0.09,-0.023,0.253,0.128,LCO,1
51,4430185068482324864,4430185034123000960,237.37595774646377,7.226726528520794,237.36422090047304,7.22290942448448,9.967251978661263,0.014017337001860142,9.985654669047058,0.015218925662338734,-35.990479152698114,0.015402429737150669,2.654210432197527,0.013018133118748665,-36.644819562763345,0.017127538099884987,2.1929537058972897,0.01449755672365427,-0.025,0.072,-34.75638961791992,0.19761456549167633,-34.64863967895508,0.19205433130264282,0.9567173719406128,0.044655799865722656,0.9867241382598877,0.040231525897979736,1.9434415102005005,0.9891728162765503,1.011337161064148,9.89279842376709,10.149056434631348,0.8533592224121094,0.9090671539306641,100.24,0.48,0.1,-0.1,0.268,0.106,LCO,1
53,2776055105362407680,2776054899203977728,11.921890733089114,12.87912341152968,11.932238145806345,12.871997103318977,9.188221612143765,0.015674371272325516,9.228856154417429,0.01692076213657856,84.48502738296577,0.02054479718208313,-35.235835282930374,0.016346829012036324,84.09811277962544,0.020268958061933517,-35.77227978056481,0.014933515340089798,-0.468,0.017,14.912976264953613,0.23563402891159058,15.508992195129395,0.16123728454113007,1.1858887672424316,0.04005235433578491,1.029262900352478,0.04049074649810791,2.2151516675949097,0.8108559250831604,0.9011603593826294,8.779194831848145,9.075352668762207,0.6929922103881836,0.7734079360961914,108.61,0.93,0.06,0.314,0.254,0.254,HARPS,3;5
